id;anfitrion;distrito;plazas;precio
6369;13660;Chamartín;2;$70.00
21853;83531;Latina;1;$17.00
24805;101471;Centro;3;$80.00
24836;101653;Centro;4;$115.00
26825;114340;Arganzuela;1;$25.00
30320;130907;Centro;2;$65.00
30959;132883;Centro;2;$54.00
40916;130907;Centro;3;$90.00
59923;288380;Centro;1;$40.00
62423;303845;Centro;3;$45.00
70059;353616;Centro;2;$65.00
70310;353738;Centro;4;$70.00
70315;353738;Centro;4;$75.00
70316;353738;Centro;3;$75.00
72150;364585;Centro;9;$110.00
72955;378073;Centro;4;$85.00
74352;391014;Centro;4;$80.00
75609;401552;Centro;3;$63.00
76617;368907;Centro;5;$102.00
82481;448981;Salamanca;2;$60.00
84719;259229;Centro;2;$60.00
86042;364585;Centro;7;$100.00
89954;487095;Centro;6;$110.00
92920;495849;Centro;2;$50.00
93100;499977;Centro;3;$32.00
96072;510570;Tetuán;2;$25.00
100411;527760;Fuencarral - El Pardo;2;$60.00
101507;5795235;Centro;2;$65.00
102040;533936;Ciudad Lineal;1;$20.00
102091;534128;Chamberí;6;$194.00
102194;534515;Centro;4;$95.00
103541;361930;Chamberí;4;$75.00
109369;564773;Fuencarral - El Pardo;1;$40.00
112650;574498;Centro;2;$75.00
114854;361930;Chamberí;4;$75.00
117919;557423;Centro;5;$57.00
119389;378073;Centro;4;$85.00
120293;605612;Centro;2;$35.00
120762;606925;Centro;2;$29.00
123864;605612;Centro;3;$67.00
127819;632589;Centro;8;$200.00
132428;650803;Centro;1;$26.00
136058;666482;Villaverde;1;$21.00
150123;723539;Centro;2;$80.00
153798;739627;Hortaleza;1;$40.00
154224;740087;Centro;4;$69.00
163429;780107;Chamberí;4;$65.00
167183;796746;Hortaleza;2;$45.00
169719;805726;Centro;2;$25.00
170750;814490;Centro;4;$90.00
171144;816497;Centro;3;$150.00
176826;845399;Centro;1;$60.00
176827;845399;Centro;1;$60.00
177500;596469;Centro;2;$80.00
177523;596469;Centro;2;$80.00
177850;850654;Centro;3;$19.00
183309;877571;Centro;8;$90.00
183346;877571;Centro;2;$30.00
183353;877571;Centro;2;$30.00
183435;877571;Centro;8;$89.00
191661;927343;Centro;3;$70.00
